P85A PDK1
CHD4 IKZF2
LSM4 METH
ERBB3 PK3CB
DCNL1 FBF1
UD13 UD19
NICA RS7
AKTIP EMID1
BAP1 PPM1G
RAB35 VCAM1
ADT2 CLN3
IF2B3 P53
DEFI6 LCK
KC1A RS28
MDC1 STAU1
BAG3 PSA5
ESR1 FKBP5
DPOLA RBMS1
CUL5 EFTU
HIRP3 SC23A
ARNT2 NCOA3
NRF1 PDZ11
RUVB1 TMED9
PSA5 PSD7
NPM PTRF
CLIP1 CSK2B
PIAS1 SAFB1
CDN1B SPDYA
COG3 ZDH17
RS21 RS3A
GOSR1 SNP25
CRTC2 NEDD1
E2F1 STAT1
ELAV1 RS15
APC4 APC5
HBG2 SMAD5
H2AW SUZ12
RM04 RS18
RAB14 RFIP5
EF2K SRP09
I10R2 IL28B
NED4L SCNNB
5HT1B NDKB
APC11 TRI46
CAND1 ZN407
DHSB UCRI
CREB3 KTAP2
R144B TRI55
CREB1 SMCA4
CDK9 ILF2
1433T IF4A3
RN169 SAE2
ACHB2 CREL2
RAB8A RFA1
NAA15 RAD21
EP300 H11
PRPK THIO
LSM4 WDR44
ACOT9 UBD
PK3CA RASM
PABP1 TNR6B
ECSIT FBXW4
B2L12 HSP74
EGR1 IL1B
CLN8 ZUFSP
CD28 CD4
SEPT3 WBP2
HS90B PSB5
EXOC1 NUF2
ARF6 ITSN1
PRS8 PSA6
CADH1 TRI33
MDR1 RING2
BRCA1 PPR3A
ELAV1 F107B
CEP63 RU17
CLN5 S61A1
TOM70 UBD
FBX7 NUP98
U2AF1 VEGFA
GCN1L HSP71
ARI4A CDK1
PPID VCAM1
IQCB1 PSB2
CO3A1 SPRC
ASB16 FYN
PABP1 RL7
1C01 BATF2
PAXI1 PHB2
PAPS1 THIC
WIPF1 ZAP70
CSK2B DCOR
RAD50 ROA1
CA124 PMS2
A2MG PDGFA
BYST RING2
CX026 SMAD2
IL6RB LIFR
AAKB2 OXDA
HMGB1 P53
GCP3 SH3K1
KDM6A MATR3
ACTC UCHL5
NACAD NRF1
CSN5 IRF8
HXB1 MEIS1
ABI1 VASP
JAK3 STAM2
ARRB1 PRKN2
PLP2 PTCD3
ARNT2 USBP1
BCL2 CISD2
DPY30 PAXI1
DLG1 SCN5A
A4 SUH
ABCD3 NDUS4
CRYAB PI16
DTX3L H4
TP53B VRK1
RAB5B RBNS5
ADDA KAPCA
NHS RPN1
FOS OPTN
CPNE1 SUMO2
CFTR RAN
MPCP UBL4A
ATG9A TBK1
GBB1 VATA
NDUS8 RPN2
EF1G NUDT3
RENT2 RRP7A
GBRL2 HSP76
GBRAP RU1C
BEX3 NTRK3
CHIP EPM2A
RFC1 ZSCA1
FKBP6 HS90A
HGS TMCC2
CYTB SPY2
FYN TRPV4
EED H2AY
BIN1 RAP1A
KDM1A TIF1B
FXR2 RPIA
ILK NOC2L
A4 JAGN1
HS90A MMP2
APBA2 UBP20
GBRL1 PSB2
CDK4 NU155
RL9 THIOM
CALM LUC7L
2AAA GBB2
M3K1 UB2D2
PE2R4 SRC
1433B CDN1B
TN13B TNR17
HMGN2 KC1A
MK06 MYBB
BAG6 P53
CING IFT57
ICLN PSA5
ERR1 PRGC1
DAXX PAX5
CHERP DHX15
ENOA PDIA1
CBX1 DNM3B
A4 FP100
ACTB CY24B
RBBP4 SMCA4
P53 PCNA
CAND1 EXOS2
ESR1 HNRPL
MP2K1 MP2K4
CEBPB TRIB1
EF1A1 RRAS
BAG2 NFKB1
CKAP5 TOP1
APOA2 APOC1
FLNB KI21A
ACTC TRI63
FXR2 NONO
PHC2 SCML2
SKP1 SUGT1
PDIA1 UBD
H33 ING2
PHKG2 PP1B
ANDR PTEN
ROA1 RS3A
P55G PLCG1
CAN1 ITB3
ESR1 PO2F2
F27E3 KR412
GCR RANB9
ABL1 GRB2
HP1B3 SRSF7
ATG5 PUM2
ATPA ATPO
BRD8 VPS72
PLF4 SDC2
INSR PTN11
RBTN2 TAL1
CHM1B VATA
CUL3 RM24
DHX15 DYSF
ATIF1 PK3CA
CRK K2C79
ECHA VCAM1
RPAB5 RPC4
UBE2H UBP2L
ICT1 THNS1
GIT1 IF6
MMS19 PHB2
BIRC5 CDK2
CDC5L TCP4
E2AK2 NOP2
KDM6A SIX4
MAP1B PINK1
GTR1 STOM
CLH1 ITSN1
KCC2A PP1B
MLP3A NALP3
CASP8 CASPE
EIF2D SYHC
TNPO3 UBP19
DCD STK25
BAP1 UBP28
PCH2 ZN655
ADCY7 KPCD
CHD3 RAD21
RS27A TAF10
CALX CLN5
GBRL1 TFG
LN28A RU17
INSR STA5B
CDC5L EWS
ALK IRS4
ASSY MYC
CSK21 TF7L2
MAGAB SH24A
EPS8 S27A4
CRCM PNPH
BIN1 XRCC5
ELAV1 PURB
APC2 CTNB1
NUDC PAPOA
RS11 RS25
MARE1 RUXF
GBRL1 HACD3
MED29 TADBP
DHX30 NEDD8
EGFR KPCB
FAN1 MLH3
HS90A KLH26
CO2A1 SPRC
CAND1 PEX16
ITA5 MSS4
POTE1 RGF1C
GPN1 TCPQ
FOSL2 MYC
A4 MET2B
DJC10 NEDD8
IGSF8 RL18
JIP2 NDUS6
MYOC NOE3
E2F2 SP1
CBLC I28RA
N4BP1 SUMO1
ACLY NEDD8
GRB2 HNRPF
EIF3E SUMO1
CDC42 NEK6
ARI2 UB2V1
KBTB7 KPYM
CSN2 EP300
SC23A SC24D
CCR7 CXCR6
GRB2 RHOU
FINC IF2A
DDX3Y SUMO3
ASH2L MEF2D
CEBPA MYC
ESR1 RPB4
RBMX RL31
ITB5 NUMB
FKBPL NOD1
NUBP2 PP2AA
RNF11 UBE2U
QCR2 UBD
COPB2 NELFD
LSM10 SMD2
SYN1 VIME
KDM4B WDR5
FBXL8 ORC4
IGHM UFD1
1433B KI13B
HS90B NPT2A
CBLB I10R2
CUL2 RAM
1433G PININ
PDPK1 ZN133
NCOA1 NCOA3
DDX46 SRPK2
CUL1 XRN2
DCK THOP1
RAB6A RB6I2
NR1H2 SPY2
CBP SRTD1
IL2RB LCK
GNL3L P53
EXT1 TRAP1
AASD1 TBB1
ABI2 VINC
HSP71 TTC1
CTNB1 SMD1
ECHA PP6R1
RNF11 TF2H1
FLRT1 FLRT2
DYN2 FNBP1
DLG4 KCNA3
SC24A TACC3
PIAS3 SIAH1
RFA2 TLE1
ARMC8 RNPS1
U17L2 U17L7
CUL1 SREK1
CLC4C FCERG
DDX1 SMAD2
NCOA6 NR1H4
ASF1B TITIN
TLN1 UBP19
TEX11 ZN414
EXT2 RS29
G45IP RM12
HSF1 STRAP
ERCC5 TF2H2
FAS NEMO
ANM2 RB
P53 SUPT3
NEUL4 UBE3A
RALA TSC2
DAPP1 LYN
PK3CD RASE
CADH3 NPHN
CSK21 FXR1
HS105 HS90A
FHL3 SMAD4
RS21 UB2V2
MP2K1 TRIB1
NEK6 SGK1
CSK21 EIF3H
JAM1 PP2AB
ACD AIPL1
MLP3B PRDX2
FXR1 PRS23
NEK9 SSRP1
GBRAP OPRK
PPARG ROBO4
SFR15 WBP4
CD4 DDX5
MDM2 PTH2
ENOA IC1
CT024 MPC2
CMTA2 NKX25
CNOT7 TNR6C
CO7A1 HSP7C
CSR2B CUL4A
RD23A XPC
SHC1 SOMA
PRS7 PSA4
MAGD1 TBA1A
PKNX1 PO2F1
HDAC2 MIER2
HSPB1 SMRD1
CUL1 NOP2
KAP2 PDE4A
CCNA2 ORC2
DCNL1 K1C9
MCA3 RLA0
FOXL2 PAK1
SMD3 SRRM2
COPB2 MYC
CEBPZ NFYB
BCL7B TERF1
RLA1 RS25
DVL2 SNIP1
ADA1B AP2M1
BTF3 CSK2B
CHK2 ERCC6
RB33B TGFR1
AKP8L EMD
RM38 UBE2H
K2C6A UBS3B
TOM22 TOM70
HCFC1 HSP7C
HTRA1 PAR6B
RFA1 SF3B2
TIF1A ZNF10
IPO9 MEPCE
CNOT7 TOB1
CSN3 CSN4
GAB2 PK3CD
PSA3 TF7L2
ESR1 PPP5
FBX9 SKP1
MED10 QKI
SPTC1 SPTC2
COR1C UBL4A
ARRB2 KPB2
ASPP1 P63
CDC23 EMIL1
A4 ZN839
AHSA1 CDC37
EDNRB GNA13
HNRPK KPCD
LATS1 SC16A
ITB3 VTNC
AP2M1 AQP4
1433E CBL
CSN2 NR0B1
PML TNR6
RED SEPT7
TERF2 TRI47
CHMP5 ZNF91
L2GL1 NPM
RBMX RING2
BAG1 GCR
HNRPR KHDR2
FCERB SOS1
TB10B TERA
KCNH2 PASK
ABL1 DOCK3
JUND TYY1
SC6A3 TGFI1
LATS2 LIN7C
OXSR1 RL24
AP2A2 TERA
HDAC2 SNAI1
CH033 CREL2
MIRO2 NDUS7
OXSR1 RUVB2
TACC3 TTF2
ETS1 SUMO2
AIRE TIF1B
IPO4 SIR7
KLHL3 OPRD
TMX1 TMX3
DESM NEBU
ASB1 HMGB1
CELF1 RFA1
GAB2 PLCG1
1433Z TENS1
ATN1 CENPJ
ATF2 TAGL2
PSB10 PSB6
LMTK2 PP1G
CUL4A TLE2
COF1 ECT2
RFX5 SIN3B
HXC13 HXC9
HNRPC NXF1
ALDOA DNLI4
K1704 PPID
DBPA NFYB
RAB5B RIN2
RL3 RL7A
NUDC TRI17
CSN5 SMAD7
LRC20 NRF1
NUD18 PUR6
TNR6 UBA7
CSN5 RLA0
PCBP1 PTBP1
H1X VCAM1
P85A SHC1
TRAF4 UBC9
KITH PLXA3
ABL2 SRC8
ARP3B RSRC1
CUL3 UBXN7
CUL1 ILK
B2CL1 FKBP8
PRIC1 VIP
BUD31 RS7
CAND1 RL24
GEMI2 RAD50
ASGR2 DHE3
P55G VGFR2
PSD10 PSD13
KCIP2 KCNE4
CRGC CRYAA
CT004 CUL3
BACH2 CSN6
CLC4G GEM
MY18A TRIM9
EIF3I VCAM1
DUS19 ELAV1
EF1G NUMA1
RCD1 TOB1
DFFA GRAB
HS90A TBK1
HDA10 MICA1
ACTB ARP3
P63 SUMO1
SIR6 VIME
PO2F1 STA5A
PDS5A WAPL
GRK5 HDAC6
NRF1 TBD
TAF13 TAF7L
E2F2 SPIB
DKC1 NOP10
AJUBA LCK
ANM1 NRF1
CASP3 HSPB1
SAFB1 VASN
CUL3 THIL
NICA OSTP
NBR1 UBD
CISD1 NR4A2
CXCR4 GNAI1
ARRB1 MPRIP
NFKB2 TBA3C
H31T TAF10
CAND1 SNW1
KIT SOCS3
HNRPQ SYIC
ABI1 NCKP1
RAB1A VATA
BRD1 LAMB1
COMD1 OSTP
GCR MED14
I12R1 SOCS5
FAF2 UBQL2
TEAD1 VGLL1
PRPK RL27A
CLH1 SYNJ1
IF4H SRSF3
CALU KBP
RING2 SARM1
GDIA SIR7
CC151 SUV92
CLH1 OPTN
EHMT2 GFI1
ILF2 RM21
CERS2 DHB12
GRB2 RAGE
CLUS MMP25
IRAK2 TADBP
DISC1 PPM1E
COX5B ODP2
GBRL2 PDCD6
NPM RL24
AMOT BAG3
KDM1A SNX15
K1C14 NEDD8
CB044 KAP0
SHIP1 TNR6
MLP3A ZN638
1433B DAPK1
A4 TRDMT
BORG5 UVRAG
BMI1 PURA
FLNC SGCD
GRB2 PTPRA
DDX27 GRP75
IMB1 NLK
DRD4 KLH12
HXB7 IRAK3
BAG3 WNK1
AAKB1 E41L5
MYC TNPO3
GANAB PTN12
ANT3 THRB
GRAP1 GRM7
AT1A1 UBD
CTNB1 EZH2
CSN8 IKBA
CREB3 S29A1
LAMB2 SAP
SMAD6 TGFR1
IGF2 PGS2
RS12 UBP38
EZH2 RORA
CALM PCP4
ELAV1 ZN521
GORS1 KPCD2
2ABB MCM5
ANM1 VHL
B2L11 TOM20
ADT2 KAPCA
ENOG SIGIR
STAM2 UB2D1
CD3E P85A
FMR1 SUZ12
CDK6 SOX5
RL31 RS3A
A4 SUSD3
MOAP1 UBQL4
APBB1 SF3B3
LMNB1 PO2F1
DVL3 VANG1
CUL1 TCPB
RN115 UBE2W
ANR11 GOGA2
PDCD2 PRKN2
IF6 PSF3
ESR1 PRDX1
M3K10 MP2K4
AT1A1 HGS
PRPK RL17
ANDR FGR
PRPF3 UBP15
MAT1 PHF7
ECM29 TP4A3
MLH1 NBN
NUBP2 PTMS
RU2A SFPQ
HSP7C PP1A
ITCH SMAD3
M3K12 MP2K4
EF1A2 MLP3A
ANF ANPRB
ECM29 TBB4B
CR3L3 UBP7
NUP93 RYK
ATM XPA
ELAV1 KAISO
CSK22 SYUA
SNTA1 UTRO
CD158 FCSD2
CSN5 PSA6
CUL1 VGFR2
1433Z BSPRY
CPSF5 MLP3B
ASM BEX3
GEMI4 LEG1
CDN1A CSN6
LRRK2 RS27
KDM1A UCHL5
ERBB4 PLCG1
CD276 RYK
AN32A IF4A3
PPM1G S100P
CG050 RING2
TYY1 ZN638
CPNE1 MP2K1
RPB7 UBP45
PSN1 RL10
MEF2C VGLL2
RHG21 RHOA
HDGF PDIP3
ITA4 RM43
AUP1 OPRK
IKBB MPIP1
ABI2 K1C20
GNL3 P53
SMCA4 ZEB1
1B07 CRK
1433Z UCHL5
CBPC1 LIPA4
PHKG2 TCPQ
LBR SUMO2
NKG2F TYOBP
CUL3 RUXG
GCNT1 PARVA
MYC UBP22
AFF1 ENL
PPB1 UBX11
LMNB1 SMRCD
SOS1 SRBS1
NOS2 RAC1
KAT5 SENP6
CNDG2 TAL1
OSBP1 SWP70
RB27A SYTL3
ARHGJ RHOA
PCH2 RBPMS
TGM2 ZFY19
DDX5 RFOX2
JUN SPI1
SPI2 UBQL1
M3K2 MK08
ATF2 TCPB
CSF3R JAK2
GATA2 TAL1
AT2A2 FBX25
CREB3 ORML1
S10AA TMM65
ACTN1 PSA1
EPHB4 KPYM
RANB9 SMAD9
FBX38 PPM1G
1433T WWTR1
1433E MYC
COX5B MDM2
AB1IP RAP1A
ISG15 YTDC1
RS8 TRI18
CALM PYGB
MDM4 UB2D3
IRAK1 MAGD1
IQGA1 KAPCG
NOB1 RING2
DNLI4 WDR20
HOOK2 TPM3
1433F NEK1
ABL1 HXC8
1433B DYR1A
PRKDC TF65
GNDS RRAS2
1B07 TAGL2
EF1G RL8
1433S EF1A1
FCN2 MASP1
CFTR KINH
A4 ST17B
LARP1 SYWC
BRD4 SIPA1
COIA1 FBX6
ANM5 PIAS4
ELAV1 F134C
HES1 SUH
LIMS1 TYB4
CSN5 U520
E41L3 IGS21
FGF1 VGFR2
HNRH3 HNRPD
MMP12 UPAR
AP2A1 STAM2
GRB2 VASP
PAI1 TPA
CPNE3 UBP42
RB22A VATA
SMAD3 UBP7
RIOK2 RS27A
KLF5 SMAD4
LDB2 LMO4
PLD1 RAC1
PEBP1 SMYD2
DDX41 PAF
IL2 IL2RA
PIN1 SRRM1
NR2E3 RXRB
PRS8 UBE3C
ACTG CTNA1
IF2G UBD
KAT5 NBN
TYSY ZFY19
1433G UCP2
TNR16 TRAF4
PRP19 SNUT1
CSF3R SOCS1
CHIP NADE
NRF1 OCEL1
NMDE2 PK3CA
ARRB2 TERA
PRP19 SRRM1
CAF1A H32
CNBP RL35
ILEU XPO1
CUL3 RPAC1
NUP93 NXF1
DHX9 SRSF1
EGFR SERA
FOXA1 SUMO2
RCN1 ST1A1
CD3Z NCTR3
AF10 ENL
PLST THOP1
CCDC8 DYR1A
1B07 C1TC
ABR CAPS2
BT1A1 TRI68
MPCP NDUB8
BLM MSH6
GATS IN80B
BARD1 DDX50
RT28 SRPRB
CUL3 UBAP2
WASP WIPF1
CLAP1 PTBP3
CIAO1 DPP8
2AAA TAU
STK24 TCPE
NOP58 RS3A
DHX58 STAU1
GSK3A PSMD1
IMB1 P53
RING2 TBB4B
NFKB1 UBE2K
ARRB2 RL26
PFD1 RNZ2
DCNL1 K2C75
RS5 STK24
MTMR4 TBRG4
DLGP4 UBB
CALX WWOX
CSN2 VDR
MYC SMAD2
1433T NCOA1
FBN2 ZNF8
ANDR CBP
DCST1 NEDD1
ILK RS11
MAGB2 RL21
PKCB1 SUMO1
KC1G2 RPGP1
TBB4A TRADD
NSF VTI1B
LMBL2 PHF10
CD24 LYN
CAC1C CACB2
K1967 MYC
APBB1 KAT5
IF4A1 MRP2
ITF2 PIAS4
ACINU AP180
HDAC5 HIF1A
ATX1 ZCH13
KBTB7 RPOM
IF5A1 MACF1
MCM2 MCM5
RASF5 TE2IP
ELAV1 VAV2
H4 SMBT1
UBQL4 ZG16B
FGR SRC
CREB1 KAT5
AAPK1 GFAP
AMOT XPR1
HNRPF TXN4A
OSTP TBCD8
TFG UBD
DNM1L MARH5
P55G VAV2
ELAV1 TAC2N
DPTOR FBX25
MLL1 RPB1
CUL4A PABP1
GIT2 SPOP
DERL1 TRFM
MED24 TFP11
P85B PLCD4
DDB1 PTN14
ATX1 S6A13
RL19 RS8
CSN3 IKKB
CCDB1 IMP3
ADNP EED
ASCC3 SOX2
MEF2A MYOG
SET UBD
1433Z GABR1
IKKE TBKB1
H2AY VCAM1
ARRB2 TRAF3
PSMD8 RS12
BBS10 YAED1
CDC5L MCM10
K1C18 KS6A3
EIF3K PA2G4
HSP71 KC1E
HXK2 RL5
E2F4 MYBB
ATP5I RING2
NPY NPY4R
H12 TBCD
DBPA HAUS6
ABL1 TSKS
KPCD PLS3
ANM1 TERF1
CBX1 TIF1A
PTBP3 STIP1
ANXA1 STK4
DYHC1 FLNC
RAD21 TFG
NUCL PLOD2
MST4 RS7
BAZ1B MK09
MST4 STRN3
PAF TENS1
S10A8 TERF1
MPCP SP1
RM19 TSR1
KPRA TRAF6
SYDC XPO2
TERA UB2J1
FAK2 PITM3
NACA TBP
AKT1 FANCA
UB2V1 UBE2C
IGSF8 YBOX1
FBX24 NUDC3
CSK22 NP1L4
ATPB QCR2
ECSIT PSN1
PAF PHAX
HXK3 ZBT17
PRKN2 TPM3
OCRL PLCD4
BLM SMC1A
CHD3 SNW1
CSK2B NCF1C
ARL6 BBS2
ATG12 HD
CBLC UBE2K
CDK5 HSP71
HDAC1 KDM1A
SH3G3 VGFR1
SEMG1 SUMO2
NDUF3 SURF1
C42S1 RAC1
KAT2A TEBP
BAF HMGA1
TRFR TRH
CELR2 KLF6
MDFI VPS72
AAPK2 CTNB1
KDM1A SPSB1
JAK3 P85B
MAML1 NOTC4
ARP6 PSA1
FYN SNX12
MYB RCD1
HNRH3 MLP3A
NED4L PBX1
PRS6A PRS6B
KC1E TCPE
AL1A1 SUMO1
GCP4 GFAP
PLAK ZFYV9
NBN TBG1
CHK2 PSME3
BAIP2 LIN7B
1B07 TADBP
K6PP POTE1
CRK HEXA
ATRIP PRKDC
CAPR1 RFA2
ASPH IQCB1
FACD2 NBN
FBXW4 RUVB1
A4 IGHM
CUL1 DHX9
GRAP2 KSYK
ITA4 RS15A
ALBU UBP37
K1C13 K2C7
CKAP5 FYN
AP1M2 SCNNA
P53 PAI1
ADT2 ASB10
TAB1 TRIP6
RPGR TBG1
C1QBP PPIF
RAB25 RFIP3
CUL2 FAF2
K1C17 K2C8
1B07 GLYM
CNN3 SI1L1
DDX24 RNPS1
PRS4 PSA4
CAND1 EWS
DSRAD VIGLN
KAPCA MIP
1433S RND3
NR2E3 RFOX2
H15 KPCA
ELAV1 UHMK1
CSK21 SLIRP
DMP4 SUV92
BASI SUMO2
SPRE2 SQSTM
CASP9 CASPA
HXK1 PROSC
STXB3 VAMP2
HCK WIPF1
CUL1 RBBP6
CC85B CP048
OASL THA
GBB4 GBG5
CDK4 CSN5
IQGA3 MYC
PSB6 STK25
CBX7 PCGF6
CU109 HAUS2
DPOD1 TBCD4
ELAV1 MTA1
ARBK2 HS90A
A4 MMGT1
BPHL SUMO1
CL072 GRP78
ALBU K1C10
ARI2 NEDD8
CSRN2 PP1A
STAG1 TERF1
PPARA SIR1
EIF2A ESR2
GBRL1 HNRH1
CC85B CEP70
HBB PABP1
PIAS4 SMAD4
ICT1 PUSL1
OXSR1 TBA1C
A4 FIBP
GIT2 HBXIP
RING2 TRAF2
NEP RAP2B
GSK3B RL31
CNN3 PHF12
PRP4B SRRM2
AIRE CBP
RBBP7 RET1
CO5A3 TPR
ARL1 MYC
1433S KINH
DSS1 SUMO2
LAMA3 TBG1
ARI1B SMAD2
CSN5 NR4A3
PABP1 RUVB1
BAIP2 EGFR
RCOR1 TP53B
ANXA7 CDC5L
MLL1 MLL4
BRE1B TRI51
TNNT2 TPM3
AGGF1 RAE1L
SUZ12 TERA
MYC RPB1
HIF1A LAMP2
CTR9 DNM3A
PPID RS3
HEAT3 UBD
B9D2 NRF1
ILF2 TRI56
FLIP1 RD23A
NEP UBAC2
OTUB1 UB2V2
ATM PTPS
CNOT1 UBP22
FBX25 HSP72
GRP75 OPTN
IKKA TRAF6
ABL1 ERBB2
NEMO RIPK2
GRB2 K2C4
FMR1 NUFP2
GAB1 PGFRB
MK03 MKNK1
ACTN1 PHB
ENAH SPTA1
AGO4 IF2B1
RBM24 RFOX1
PA24A PA2G5
BTK FCERG
PRDX2 RAD52
RL14 RL19
APOA1 TTHY
EIF3I UBP3
RL15 RL32
OSBP1 SF01
DISC1 KCNQ5
ITSN2 P3C2B
CCL5 CXCL6
CDN1B IMA7
DLG3 GLSL
MYBB NLK
MK03 TIE2
SNUT1 TIM10
FINC IF2B1
SUMO1 ZN638
PO2F1 SPTB2
HDHD2 SODM
PCF11 SNW1
DLG2 FZD1
CFTR TFG
TENS1 WNK1
HS74L PHKG2
C1TM HECW2
IGSF1 INHBA
